Depth,Temperature
1.394,-1.0839
1.5,-1.0864
1.337,-1.0864
1.606,-1.0836
1.4509999999999998,-1.082
1.5,-1.0813
1.4509999999999998,-1.08
1.4509999999999998,-1.0798
1.493,-1.0807
1.4509999999999998,-1.0807
1.5,-1.078
1.5,-1.0764
1.4509999999999998,-1.0757
1.493,-1.0759999999999998
1.5,-1.0763
1.4509999999999998,-1.0763
1.5,-1.0765
1.5,-1.077
1.443,-1.0775
1.5,-1.0757
1.4509999999999998,-1.0739
1.5,-1.0731
1.5,-1.0734
1.493,-1.0719
1.4509999999999998,-1.0707
1.5,-1.0717
1.4509999999999998,-1.0742
1.5,-1.0754
1.443,-1.0746
1.5,-1.0745
1.4509999999999998,-1.075
1.5,-1.0755
1.4509999999999998,-1.0754
1.443,-1.0761
1.5,-1.0769
1.4509999999999998,-1.0769
1.4509999999999998,-1.077
1.4509999999999998,-1.077
1.493,-1.077
1.4509999999999998,-1.077
1.4509999999999998,-1.0772
1.4509999999999998,-1.0768
1.4509999999999998,-1.0757
1.443,-1.0765
1.4509999999999998,-1.0768
1.4509999999999998,-1.0765
1.4509999999999998,-1.0757
1.4509999999999998,-1.0755
1.3869999999999998,-1.0756
1.4509999999999998,-1.0754
1.4509999999999998,-1.0755
1.4509999999999998,-1.0759999999999998
1.4509999999999998,-1.0761
1.443,-1.0773
1.4509999999999998,-1.0787
1.394,-1.0798
1.4509999999999998,-1.0793
1.5,-1.0783
1.337,-1.0778
1.5,-1.0777
1.394,-1.0777
1.4509999999999998,-1.0784
1.5,-1.0788
1.394,-1.079
1.443,-1.08
1.394,-1.08
1.4509999999999998,-1.0795
1.4509999999999998,-1.0787
1.4509999999999998,-1.0783
1.3869999999999998,-1.0778
1.4509999999999998,-1.078
1.4509999999999998,-1.0772
1.4509999999999998,-1.0768
1.394,-1.0777
1.493,-1.0785
1.394,-1.0785
1.4509999999999998,-1.0792
1.4509999999999998,-1.0781
1.394,-1.0766
1.493,-1.0758
1.394,-1.0763
