Type	error	Date	PC Time	 gps time	 latitude	 longitude	 equ temp	std val	 CO2 mv	 CO2 um/m	 H2O mv	 H2O mm/m	 licor temp	 licor press	 atm press	 equ press	 H2O flow	 licor flow	 equ pump	 vent flow	 atm cond	 equ cond	 drip 1	 drip 2	 cond temp	 dry box temp	 deck box temp	O2 um/l	O2 temp	Ch conc	Ch temp	Press	Temp	Cond	Sal	O2%	O2ppm	Temp2	TempIntake
STD1z	0	16/12/11	15:04:55	15:04:57	-60.5584	-0.0757	-0.93	0.00	13535345.00	-0.26	13540344.00	-0.31	27.36	965.95	965.63	-0.27	3.36	191.13	43.00	-55.26	9.82	9.64	9.85	0.37	4.81	21.19	8.75	396.87	-0.92	0.269	0.0	0.00	6.683	30.210	29.742	119.80	12.06	-38.583	-1.7780
STD4s	128	16/12/11	15:09:25	15:09:28	-60.5663	-0.0643	-1.00	0.00	12739311.00	427.28	13537198.00	-0.30	27.42	965.91	965.54	-0.16	3.35	50.77	43.00	-55.26	9.83	9.64	9.85	0.37	4.81	21.12	8.86	397.89	-0.95	0.366	0.0	0.00	4.484	29.447	30.867	124.20	13.09	-38.583	-1.7733
STD1	128	16/12/11	15:13:51	15:13:53	-60.5737	-0.0609	-1.03	0.00	13532192.00	-0.09	13545275.00	-0.33	27.47	965.94	965.46	-0.01	3.38	190.94	43.00	-55.21	9.82	9.64	9.85	0.37	4.69	21.19	8.96	397.37	-0.95	0.293	0.0	0.00	3.730	29.258	31.361	122.10	13.06	-38.583	-1.7264
STD2	0	16/12/11	15:18:21	15:18:24	-60.5821	-0.0661	-1.02	357.83	12845028.00	357.40	13529823.00	-0.31	27.52	965.94	965.41	-0.10	3.40	52.16	43.00	-55.25	9.82	9.64	9.85	0.37	4.69	21.25	8.96	396.00	-0.93	0.2	0.0	0.00	3.317	29.132	31.611	120.00	12.95	-38.583	-1.7189
STD3	0	16/12/11	15:22:51	15:22:53	-60.5888	-0.0683	-1.06	377.50	12811888.00	377.38	13552091.00	-0.31	27.59	965.89	965.46	-0.03	3.39	60.58	43.00	-55.23	9.82	9.64	9.85	0.37	4.69	21.37	8.96	412.05	-0.96	0.343	0.0	0.00	3.043	29.019	31.744	118.70	12.89	-38.583	-1.7707
STD4	0	16/12/11	15:27:21	15:27:23	-60.5959	-0.0710	-1.07	427.83	12741414.00	427.74	13536264.00	-0.31	27.65	965.92	965.55	-0.04	3.37	51.05	43.00	-55.23	9.82	9.64	9.85	0.37	4.69	21.37	8.96	407.46	-1.00	0.371	0.0	0.00	2.952	28.946	31.745	117.10	12.74	-38.583	-1.8081
ATM-DRAIN	0	16/12/11	15:31:51	15:31:53	-60.6030	-0.0739	-1.10	NaN	12796383.00	388.75	13478624.00	0.58	27.68	965.92	965.60	-0.08	3.37	96.62	43.00	-55.23	9.83	9.64	9.85	0.37	4.69	21.37	8.96	398.53	-1.01	0.322	0.0	0.00	2.948	28.894	31.686	115.50	12.57	-38.583	-1.7963
ATM	0	16/12/11	15:33:43	15:33:45	-60.6062	-0.0752	-1.09	NaN	12795017.00	388.72	13478491.00	0.59	27.68	965.92	965.65	-0.22	3.38	96.79	43.00	-55.25	9.82	9.64	9.85	0.37	4.69	21.25	8.96	398.18	-1.00	0.312	0.0	0.00	2.936	28.927	31.738	114.80	12.49	-38.583	-1.7879
ATM	0	16/12/11	15:35:11	15:35:13	-60.6091	-0.0747	-1.09	NaN	12795265.00	388.75	13483619.00	0.58	27.69	965.94	965.67	-0.19	3.37	96.33	43.00	-55.25	9.82	9.64	9.85	0.37	4.69	21.25	8.86	397.44	-0.99	0.281	0.0	0.00	2.965	28.910	31.689	114.10	12.42	-38.583	-1.7695
ATM	0	16/12/11	15:36:41	15:36:43	-60.6123	-0.0743	-1.07	NaN	12799102.00	388.77	13474405.00	0.57	27.69	965.98	965.58	-0.18	3.39	96.44	43.00	-55.28	9.82	9.64	9.85	0.37	4.69	21.31	8.86	394.17	-0.98	0.275	0.0	0.00	2.935	28.916	31.726	113.90	12.40	-38.583	-1.7469
ATM	0	16/12/11	15:38:11	15:38:13	-60.6154	-0.0750	-1.04	NaN	12804070.00	388.80	13474566.00	0.56	27.70	965.93	965.56	-0.23	3.37	96.62	43.00	-55.27	9.82	9.64	9.85	0.37	4.69	21.31	8.86	392.73	-0.95	0.273	0.0	0.00	2.946	28.912	31.710	113.60	12.37	-38.583	-1.7862
ATM	128	16/12/11	15:39:41	15:39:44	-60.6180	-0.0755	-1.06	NaN	12795761.00	388.77	13479086.00	0.56	27.72	965.89	965.61	-0.25	3.35	96.56	43.00	-55.32	9.82	9.64	9.85	0.37	4.69	21.37	8.86	401.24	-0.99	0.359	0.0	0.00	2.930	28.933	31.750	113.60	12.36	-38.583	-1.7923
ATM	0	16/12/11	15:41:11	15:41:13	-60.6205	-0.0756	-1.08	NaN	12797374.00	388.70	13476908.00	0.56	27.73	965.89	965.48	-0.15	3.36	96.16	43.00	-55.31	9.82	9.64	9.85	0.37	4.75	21.31	8.75	400.72	-0.98	0.324	0.0	0.00	2.915	28.924	31.756	113.50	12.36	-38.583	-1.7977
ATM	0	16/12/11	15:42:41	15:42:43	-60.6232	-0.0750	-1.09	NaN	12795529.00	388.72	13484992.00	0.55	27.74	965.90	965.52	-0.23	3.35	96.27	43.00	-55.28	9.82	9.64	9.85	0.37	4.75	21.37	8.75	402.38	-1.00	0.334	0.0	0.00	2.889	28.917	31.772	113.60	12.37	-38.583	-1.8011
ATM	0	16/12/11	15:44:11	15:44:13	-60.6258	-0.0745	-1.09	NaN	12795982.00	388.63	13482095.00	0.55	27.75	965.89	965.63	-0.16	3.35	96.56	43.00	-55.24	9.82	9.64	9.85	0.37	4.87	21.37	8.75	402.17	-1.00	0.351	0.0	0.00	2.901	28.885	31.721	113.40	12.35	-38.583	-1.8388
ATM	128	16/12/11	15:45:42	15:45:44	-60.6283	-0.0732	-1.08	NaN	12794987.00	388.65	13481561.00	0.54	27.75	965.94	965.50	0.00	1.49	96.68	43.00	-55.24	9.82	9.64	9.85	0.37	4.94	21.37	8.75	414.53	-0.50	0.400	0.0	0.00	2.986	29.388	32.247	113.10	12.26	-38.583	-1.8230
EQU	0	16/12/11	15:50:37	15:50:39	-60.6389	-0.0698	-1.09	NaN	12725060.00	436.13	13517339.00	0.22	27.78	965.94	965.64	-0.35	3.35	75.20	43.00	-55.30	9.82	9.64	9.85	0.37	4.81	21.44	8.65	0.00	0.00	0.283	0.0	0.00	2.463	28.356	31.510	114.00	12.57	-38.583	-1.7851
EQU	0	16/12/11	15:52:05	15:52:07	-60.6420	-0.0684	-1.07	NaN	12740055.00	426.57	13502939.00	0.22	27.78	965.98	965.59	-0.33	3.35	76.54	43.00	-55.29	9.82	9.64	9.85	0.37	4.75	21.44	8.65	396.70	-0.98	0.282	0.0	0.00	2.266	28.405	31.766	114.00	12.62	-38.583	-1.7800
EQU	0	16/12/11	15:53:34	15:53:36	-60.6445	-0.0666	-1.07	NaN	12744910.00	424.61	13505773.00	0.21	27.80	965.99	965.59	-0.28	3.36	78.25	43.00	-55.27	9.82	9.64	9.85	0.37	4.69	21.37	8.65	394.21	-0.98	0.313	0.0	0.00	2.160	28.388	31.851	113.60	12.60	-38.583	-1.8025
EQU	0	16/12/11	15:55:04	15:55:06	-60.6467	-0.0651	-1.07	NaN	12742779.00	424.03	13504955.00	0.20	27.80	966.00	965.65	-0.38	3.36	78.91	43.00	-55.29	9.82	9.64	9.85	0.37	4.69	21.44	8.65	397.81	-0.98	0.353	0.0	0.00	2.113	28.424	31.942	113.20	12.56	-38.583	-1.7869
EQU	128	16/12/11	15:56:34	15:56:36	-60.6489	-0.0641	-1.07	NaN	12749698.00	423.39	13496148.00	0.20	27.81	965.95	965.55	-0.36	3.35	77.85	43.00	-55.28	9.82	9.64	9.85	0.37	4.69	21.37	8.65	396.49	-0.97	0.354	0.0	0.00	2.079	28.415	31.965	113.00	12.55	-38.583	-1.8434
EQU	0	16/12/11	15:58:04	15:58:06	-60.6507	-0.0627	-1.07	NaN	12744766.00	424.98	13494613.00	0.19	27.82	965.95	965.56	-0.25	3.23	82.00	43.00	-55.29	9.82	9.64	9.85	0.37	4.69	21.44	8.65	414.47	-0.94	0.437	0.0	0.00	2.091	28.500	32.059	112.80	12.52	-38.583	-1.8251
EQU	0	16/12/11	15:59:34	15:59:36	-60.6526	-0.0614	-1.09	NaN	12746202.00	424.30	13504218.00	0.19	27.84	966.01	965.67	-0.32	3.31	79.42	43.00	-55.29	9.83	9.64	9.85	0.37	4.69	21.37	8.65	412.27	-0.95	0.345	0.0	0.00	2.154	28.393	31.863	112.50	12.49	-38.583	-1.8302
EQU-DRAIN	0	16/12/11	16:01:04	16:01:06	-60.6550	-0.0597	-1.11	NaN	12748196.00	423.52	13507088.00	0.18	27.84	965.98	965.53	-0.35	3.34	79.99	43.00	-55.28	9.82	9.64	9.85	0.37	4.69	21.37	8.55	403.91	-0.97	0.324	0.0	0.00	2.103	28.408	31.933	112.70	12.51	-38.583	-1.8393
EQU	0	16/12/11	16:02:55	16:02:58	-60.6584	-0.0566	-1.12	NaN	12753990.00	416.22	13512003.00	0.18	27.84	966.04	965.71	-0.31	3.34	79.63	43.00	-55.29	9.82	9.64	9.85	0.37	4.75	21.37	8.55	399.82	-0.98	0.292	0.0	0.00	2.050	28.347	31.910	112.70	12.54	-38.583	-1.7915
EQU	0	16/12/11	16:04:24	16:04:26	-60.6610	-0.0541	-1.10	NaN	12754425.00	419.61	13508104.00	0.18	27.84	965.95	965.57	-0.35	3.36	80.35	43.00	-55.29	9.82	9.64	9.85	0.37	4.75	21.31	8.55	395.92	-0.96	0.286	0.0	0.00	2.032	28.342	31.921	112.40	12.51	-38.583	-1.7653
EQU	0	16/12/11	16:05:54	16:05:56	-60.6641	-0.0531	-1.07	NaN	12747606.00	420.37	13512836.00	0.17	27.85	965.99	965.66	-0.40	3.35	80.09	43.00	-55.31	9.82	9.64	9.85	0.37	4.75	21.37	8.55	393.77	-0.94	0.285	0.0	0.00	2.013	28.345	31.946	112.20	12.49	-38.583	-1.7629
EQU	0	16/12/11	16:07:24	16:07:26	-60.6673	-0.0521	-1.05	NaN	12748028.00	421.90	13515025.00	0.17	27.85	965.95	965.52	-0.28	3.36	81.85	43.00	-55.29	9.82	9.64	9.85	0.37	4.75	21.37	8.55	392.75	-0.92	0.284	0.0	0.00	2.000	28.345	31.959	111.90	12.46	-38.583	-1.7478
EQU	0	16/12/11	16:08:54	16:08:56	-60.6703	-0.0508	-1.05	NaN	12750890.00	422.70	13501213.00	0.17	27.86	965.97	965.57	-0.27	3.37	80.09	43.00	-55.29	9.82	9.64	9.85	0.37	4.75	21.37	8.45	392.35	-0.91	0.288	0.0	0.00	1.959	28.373	32.035	111.90	12.46	-38.583	-1.7431
EQU	128	16/12/11	16:10:24	16:10:26	-60.6732	-0.0501	-1.04	NaN	12744846.00	423.29	13509646.00	0.17	27.86	965.91	965.48	-0.31	3.37	78.81	43.00	-55.27	9.82	9.64	9.85	0.37	4.69	21.37	8.45	392.08	-0.90	0.292	0.0	0.00	0.000	0.000	0.000	0.00	0.00	0.000	-1.7419
